lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,medium
84-277,LA4002,differential_evolution,150.0,0.24,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,160.0,0.231,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,170.0,0.241,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,180.0,0.267,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,190.0,0.238,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,200.0,0.258,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,210.0,0.238,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,220.0,0.262,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,230.0,0.228,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,240.0,0.257,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,250.0,0.237,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,260.0,0.25,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,270.0,0.258,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,280.0,0.252,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,290.0,0.218,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,differential_evolution,300.0,0.242,41.22687712449593,12.1291570877761,16.22687712449593,41.22687712449593,argon
84-277,LA4002,dual_annealing,150.0,0.244,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,160.0,0.243,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,170.0,0.229,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,180.0,0.248,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,190.0,0.264,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,200.0,0.238,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,210.0,0.251,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,220.0,0.241,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,230.0,0.248,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,240.0,0.22,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,250.0,0.224,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,260.0,0.248,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,270.0,0.257,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,280.0,0.245,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,290.0,0.253,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,dual_annealing,300.0,0.286,42.487415389465994,12.07666215854729,17.48741538946599,42.487415389465994,argon
84-277,LA4002,nelder_mead,150.0,0.003,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,160.0,0.005,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,170.0,0.004,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,180.0,0.006,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,190.0,0.002,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,200.0,0.007,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,210.0,0.003,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,220.0,0.005,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,230.0,0.003,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,240.0,0.009,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,250.0,0.005,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,260.0,0.004,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,270.0,0.003,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,280.0,0.002,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,290.0,0.003,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,nelder_mead,300.0,0.005,34.81744510555927,9.706689629226275,9.817445105559273,34.81744510555927,argon
84-277,LA4002,powell,150.0,0.241,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,160.0,0.264,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,170.0,0.209,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,180.0,0.222,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,190.0,0.238,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,200.0,0.245,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,210.0,0.259,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,220.0,0.261,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,230.0,0.243,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,240.0,0.247,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,250.0,0.254,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,260.0,0.251,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,270.0,0.249,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,280.0,0.227,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,290.0,0.252,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,powell,300.0,0.265,41.1353711681688,12.138819463176363,16.135371168168806,41.1353711681688,argon
84-277,LA4002,grid_search,150.0,0.216,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,160.0,0.216,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,170.0,0.226,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,180.0,0.224,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,190.0,0.211,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,200.0,0.203,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,210.0,0.208,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,220.0,0.244,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,230.0,0.229,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,240.0,0.205,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,250.0,0.222,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,260.0,0.206,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,270.0,0.241,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,280.0,0.215,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,290.0,0.207,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
84-277,LA4002,grid_search,300.0,0.23,60.166666666666664,11.4375,35.166666666666664,60.166666666666664,argon
